ETF1,ETF2,Weight,Correlation,,,,,,,,,,,,,,,
SPY,VOO,100,0.9999616,,,,,,,,,,,,,,,
SPY,QQQ,99,0.9917854,,,,,,,,,,,,,,,
SPY,VTI,100,0.9992553,,,,,,,,,,,,,,,
SPY,VXUS,58,0.5787891,,,,,,,,,,,,,,,
SPY,VEA,61,0.6075434,,,,,,,,,,,,,,,
SPY,VWO,49,0.4949917,,,,,,,,,,,,,,,
SPY,VYM,99,0.986373,,,,,,,,,,,,,,,
SPY,VIG,99,0.9934929,,,,,,,,,,,,,,,
SPY,VTV,99,0.9932698,,,,,,,,,,,,,,,
SPY,VUG,100,0.9953226,,,,,,,,,,,,,,,
SPY,VOE,97,0.9709235,,,,,,,,,,,,,,,
SPY,VBK,97,0.9721199,,,,,,,,,,,,,,,
VOO,QQQ,99,0.9917455,,,,,,,,,,,,,,,
VOO,VTI,100,0.9992486,,,,,,,,,,,,,,,
VOO,VXUS,58,0.5782746,,,,,,,,,,,,,,,
VOO,VEA,61,0.6069869,,,,,,,,,,,,,,,
VOO,VWO,49,0.4946115,,,,,,,,,,,,,,,
VOO,VYM,99,0.9866153,,,,,,,,,,,,,,,
VOO,VIG,99,0.9935335,,,,,,,,,,,,,,,
VOO,VTV,99,0.9933849,,,,,,,,,,,,,,,
VOO,VUG,100,0.99523476,,,,,,,,,,,,,,,
VOO,VOE,97,0.9710278,,,,,,,,,,,,,,,
VOO,VBK,97,0.9719318,,,,,,,,,,,,,,,
QQQ,VTI,99,0.9893916,,,,,,,,,,,,,,,
QQQ,VXUS,52,0.5211175,,,,,,,,,,,,,,,
QQQ,VEA,55,0.5546232,,,,,,,,,,,,,,,
QQQ,VWO,43,0.4288681,,,,,,,,,,,,,,,
QQQ,VYM,96,0.9633972,,,,,,,,,,,,,,,
QQQ,VIG,98,0.9822217,,,,,,,,,,,,,,,
QQQ,VTV,97,0.9729177,,,,,,,,,,,,,,,
QQQ,VUG,100,0.9965622,,,,,,,,,,,,,,,
QQQ,VOE,94,0.943457,,,,,,,,,,,,,,,
QQQ,VBK,96,0.9639486,,,,,,,,,,,,,,,
VTI,VXUS,60,0.5966961,,,,,,,,,,,,,,,
VTI,VEA,62,0.6249407,,,,,,,,,,,,,,,
VTI,VWO,51,0.5129306,,,,,,,,,,,,,,,
VTI,VYM,98,0.9848334,,,,,,,,,,,,,,,
VTI,VIG,99,0.9918898,,,,,,,,,,,,,,,
VTI,VTV,99,0.9934355,,,,,,,,,,,,,,,
VTI,VUG,99,0.9947169,,,,,,,,,,,,,,,
VTI,VOE,98,0.9751733,,,,,,,,,,,,,,,
VTI,VBK,98,0.9787801,,,,,,,,,,,,,,,
VXUS,VEA,99,0.9929997,,,,,,,,,,,,,,,
VXUS,VWO,96,0.9573807,,,,,,,,,,,,,,,
VXUS,VYM,58,0.5804221,,,,,,,,,,,,,,,
VXUS,VIG,57,0.5673828,,,,,,,,,,,,,,,
VXUS,VTV,60,0.6021431,,,,,,,,,,,,,,,
VXUS,VUG,57,0.5664017,,,,,,,,,,,,,,,
VXUS,VOE,66,0.6573828,,,,,,,,,,,,,,,
VXUS,VBK,64,0.6414844,,,,,,,,,,,,,,,
VEA,VWO,92,0.9188415,,,,,,,,,,,,,,,
VEA,VYM,60,0.6021841,,,,,,,,,,,,,,,
VEA,VIG,59,0.591118,,,,,,,,,,,,,,,
VEA,VTV,62,0.624871,,,,,,,,,,,,,,,
VEA,VUG,60,0.5992106,,,,,,,,,,,,,,,
VEA,VOE,68,0.6827102,,,,,,,,,,,,,,,
VEA,VBK,67,0.6682942,,,,,,,,,,,,,,,
VWO,VYM,51,0.5146943,,,,,,,,,,,,,,,
VWO,VIG,49,0.4933169,,,,,,,,,,,,,,,
VWO,VTV,53,0.5310698,,,,,,,,,,,,,,,
VWO,VUG,47,0.4738464,,,,,,,,,,,,,,,
VWO,VOE,58,0.5823031,,,,,,,,,,,,,,,
VWO,VBK,55,0.5549126,,,,,,,,,,,,,,,
VYM,VIG,98,0.9818726,,,,,,,,,,,,,,,
VYM,VTV,100,0.9951071,,,,,,,,,,,,,,,
VYM,VUG,97,0.9679061,,,,,,,,,,,,,,,
VYM,VOE,98,0.9792913,,,,,,,,,,,,,,,
VYM,VBK,94,0.9376058,,,,,,,,,,,,,,,
VIG,VTV,99,0.9884243,,,,,,,,,,,,,,,
VIG,VUG,99,0.987379,,,,,,,,,,,,,,,
VIG,VOE,95,0.9528102,,,,,,,,,,,,,,,
VIG,VBK,97,0.9669227,,,,,,,,,,,,,,,
VTV,VUG,98,0.9779297,,,,,,,,,,,,,,,
VTV,VOE,98,0.9810755,,,,,,,,,,,,,,,
VTV,VBK,96,0.9593473,,,,,,,,,,,,,,,
VUG,VOE,95,0.9544401,,,,,,,,,,,,,,,
VUG,VBK,98,0.9773931,,,,,,,,,,,,,,,
VOE,VBK,95,0.9458348,,,,,,,,,,,,,,,
