ETF1,ETF2,Weight,Correlation
SPY,VOO,100,0.999834
SPY,QQQ,97,0.9712379
SPY,VTI,100,0.9954426
SPY,VXUS,-41,-0.4111297
SPY,VEA,-39,-0.3932471
SPY,VWO,-19,-0.1880659
SPY,VYM,98,0.9799116
SPY,VIG,96,0.9612807
SPY,VTV,99,0.9851449
SPY,VUG,99,0.9888057
SPY,VOE,98,0.98234
SPY,VBK,84,0.839131
VOO,QQQ,97,0.9716124
VOO,VTI,100,0.9953683
VOO,VXUS,-41,-0.4109145
VOO,VEA,-39,-0.3936285
VOO,VWO,-19,-0.1862558
VOO,VYM,98,0.9802552
VOO,VIG,96,0.9606139
VOO,VTV,99,0.9851359
VOO,VUG,99,0.988875
VOO,VOE,98,0.9818132
VOO,VBK,84,0.8387298
QQQ,VTI,96,0.957874
QQQ,VXUS,-53,-0.5260957
QQQ,VEA,-53,-0.5276203
QQQ,VWO,-23,-0.2304817
QQQ,VYM,93,0.9331195
QQQ,VIG,89,0.8876054
QQQ,VTV,93,0.9310188
QQQ,VUG,98,0.9786317
QQQ,VOE,93,0.9287875
QQQ,VBK,77,0.7663383
VTI,VXUS,-37,-0.3667085
VTI,VEA,-34,-0.3398124
VTI,VWO,-17,-0.1745294
VTI,VYM,97,0.9663554
VTI,VIG,96,0.9628358
VTI,VTV,98,0.9790537
VTI,VUG,99,0.9898956
VTI,VOE,99,0.9921759
VTI,VBK,89,0.8852124
VXUS,VEA,98,0.9792796
VXUS,VWO,80,0.8011146
VXUS,VYM,-36,-0.3649131
VXUS,VIG,-40,-0.4038345
VXUS,VTV,-34,-0.3432368
VXUS,VUG,-43,-0.4338017
VXUS,VOE,-32,-0.3203812
VXUS,VBK,-11,-0.1067394
VEA,VWO,67,0.6748722
VEA,VYM,-36,-0.3627901
VEA,VIG,-35,-0.3470642
VEA,VTV,-33,-0.3332637
VEA,VUG,-41,-0.4077316
VEA,VOE,-28,-0.2820788
VEA,VBK,-4,-0.04031525
VWO,VYM,-12,-0.1176544
VWO,VIG,-30,-0.2978514
VWO,VTV,-12,-0.1231414
VWO,VUG,-22,-0.222426
VWO,VOE,-17,-0.1705867
VWO,VBK,-9,-0.09241266
VYM,VIG,95,0.9509121
VYM,VTV,99,0.9891661
VYM,VUG,95,0.9456015
VYM,VOE,95,0.9537515
VYM,VBK,77,0.7701423
VIG,VTV,96,0.9587884
VIG,VUG,94,0.940608
VIG,VOE,97,0.9655969
VIG,VBK,84,0.8399816
VTV,VUG,95,0.9513306
VTV,VOE,97,0.9677322
VTV,VBK,81,0.8118755
VUG,VOE,98,0.975805
VUG,VBK,86,0.8614549
VOE,VBK,91,0.9052179
