Date,SPY,VOO,QQQ,VTI,VXUS,VEA,VWO,VYM,VIG,VTV,VUG,VOE,VBK
4/1/14,188.25,172.5,89.209999,98.230003,52.560001,41.57,40.970001,63.34,75.5,78.349998,94.57,83.410004,125.800003
4/2/14,188.880005,173.089996,89.440002,98.540001,52.66,41.639999,41.119999,63.580002,75.849998,78.639999,94.830002,83.800003,126.25
4/3/14,188.630005,172.820007,88.730003,98.269997,52.509998,41.5,40.880001,63.59,75.970001,78.68,94.309998,83.610001,124.760002
4/4/14,186.399994,170.740005,86.370003,96.919998,52.389999,41.389999,40.810001,63.07,75.220001,78.040001,92.699997,82.809998,121.949997
4/7/14,184.339996,168.899994,85.550003,95.760002,52.209999,41.200001,41.029999,62.580002,74.580002,77.220001,91.510002,81.480003,119.849998
4/8/14,185.100006,169.600006,86.339996,96.18,52.349998,41.169998,41.41,62.82,74.839996,77.410004,92.099998,81.839996,120.82
4/9/14,187.089996,171.429993,87.82,97.330002,52.959999,41.740002,41.740002,63.27,75.510002,78.07,93.449997,82.589996,122.900002
4/10/14,183.160004,167.770004,85.099998,95.190002,52.060001,40.990002,41.34,62.259998,74.269997,76.669998,91.07,81.010002,119.269997
4/11/14,181.509995,166.259995,84.110001,94.25,51.869999,40.759998,41.32,61.860001,73.760002,76.089996,89.980003,80.040001,117.43
4/14/14,182.940002,167.600006,84.769997,94.889999,52.09,40.990002,41.259998,62.220001,74.330002,76.620003,90.709999,80.720001,117.900002
4/15/14,184.199997,168.759995,85.050003,95.540001,51.75,40.790001,40.650002,62.599998,74.800003,77.150002,91.360001,81.18,118.459999
4/16/14,186.130005,170.539993,86.18,96.540001,52.279999,41.330002,41.07,63.18,75.449997,77.849998,92.510002,82.18,120.230003
4/17/14,186.389999,170.740005,86.199997,96.730003,52.560001,41.48,41.560001,63.349998,75.830002,78.010002,92.599998,82.220001,120.559998
4/21/14,187.039993,171.369995,86.839996,97.120003,52.700001,41.549999,41.290001,63.52,75.980003,78.190002,93.129997,82.459999,121.120003
4/22/14,187.889999,172.119995,87.529999,97.620003,52.740002,41.720001,41.150002,63.669998,76.010002,78.400002,93.779999,82.989998,122.470001
4/23/14,187.449997,171.710007,86.760002,97.370003,52.580002,41.610001,40.93,63.529999,76.010002,78.419998,93.279999,82.980003,121.550003
4/24/14,187.830002,172.089996,87.589996,97.5,52.619999,41.599998,40.93,63.799999,75.860001,78.379997,93.650002,82.919998,121.370003
4/25/14,186.289993,170.710007,86.190002,96.550003,52.299999,41.400002,40.459999,63.650002,75.309998,77.980003,92.419998,82.349998,118.889999
4/28/14,186.880005,171.229996,86.470001,96.690002,52.459999,41.52,40.580002,64.199997,75.629997,78.279999,92.540001,82.339996,118.099998
4/29/14,187.75,172.050003,87.160004,97.169998,52.669998,41.790001,40.970001,64.330002,75.779999,78.550003,93.220001,82.690002,118.849998
4/30/14,188.309998,172.589996,87.389999,97.529999,52.860001,41.919998,40.939999,64.449997,75.989998,78.779999,93.519997,83.169998,119.550003
5/1/14,188.330002,172.600006,87.650002,97.559998,52.939999,42.060001,40.970001,64.349998,75.739998,78.599998,93.889999,83.129997,119.629997
5/2/14,188.059998,172.320007,87.489998,97.480003,53.009998,42,41.240002,64.220001,75.800003,78.470001,93.919998,83.169998,120.010002
5/5/14,188.419998,172.679993,87.949997,97.639999,52.959999,41.950001,41.060001,64.25,75.93,78.370003,94.269997,83.099998,119.970001
5/6/14,186.779999,171.179993,86.809998,96.739998,52.919998,41.889999,41.220001,63.790001,75.5,77.809998,93.349998,82.480003,118.059998
5/7/14,187.880005,172.190002,86.559998,97.190002,53.060001,41.93,41.48,64.279999,76.139999,78.559998,93.43,83.169998,117.540001
5/8/14,187.679993,171.979996,86.480003,96.93,53.07,41.919998,41.369999,64.190002,76.07,78.470001,93.18,82.82,116.580002
